idx,uniqueid,id,maxclass,numinlets,numoutlets,patchx,patchy,parent,abstype,text,displayname
228,obj-45_obj-75_obj-9_root,obj-45,comment,1,0,312.0,306.514618,obj-75_obj-9_root,standard,slow envelope,slow envelope
229,obj-44_obj-75_obj-9_root,obj-44,comment,1,0,50.0,306.514618,obj-75_obj-9_root,standard,fast envelope,fast envelope
230,obj-33_obj-75_obj-9_root,obj-33,comment,1,0,237.0,601.628357,obj-75_obj-9_root,standard,lockout to avoid flammed attacks,lockout to avoid flammed attacks
231,obj-27_obj-75_obj-9_root,obj-27,comment,1,0,249.75,451.755127,obj-75_obj-9_root,standard,schmitt trigger,schmitt trigger
232,obj-25_obj-75_obj-9_root,obj-25,comment,1,0,201.5,250.924103,obj-75_obj-9_root,standard,absolute noise floor,absolute noise floor
233,obj-29_obj-75_obj-9_root,obj-29,comment,1,0,168.25,107.550781,obj-75_obj-9_root,standard,hipass to remove DC,hipass to remove DC
234,obj-26_obj-75_obj-9_root,obj-26,newobj,1,2,168.25,411.771942,obj-75_obj-9_root,standard,unpack f f,unpack f f
235,obj-109_obj-75_obj-9_root,obj-109,newobj,3,1,109.5,461.650574,obj-75_obj-9_root,standard,thresh~ 10 15,thresh~ 10 15
236,obj-8_obj-75_obj-9_root,obj-8,newobj,6,6,358.5,161.508545,obj-75_obj-9_root,standard,route thresh lockout floor hipass mode,route thresh lockout floor hipass mode
237,obj-31_obj-75_obj-9_root,obj-31,newobj,1,2,358.5,107.550781,obj-75_obj-9_root,standard,patcherargs @thresh 10 15. @floor -70 @hipass 110 @mode onset,patcherargs @thresh 10 15. @floor -70 @hipass 110 @mode onset
238,obj-2_obj-75_obj-9_root,obj-2,comment,1,0,229.75,356.39328,obj-75_obj-9_root,standard,volume differential ,volume differential 
239,obj-99_obj-75_obj-9_root,obj-99,newobj,1,1,109.5,162.378662,obj-75_obj-9_root,standard,abs~,abs~
240,obj-17_obj-75_obj-9_root,obj-17,inlet,0,1,109.5,40.0,obj-75_obj-9_root,standard,,inlet
241,obj-18_obj-75_obj-9_root,obj-18,outlet,1,0,109.5,694.628357,obj-75_obj-9_root,standard,,outlet
242,obj-75_obj-9_root,obj-75,newobj,1,1,329.0,309.0,obj-9_root,subpatcher,p new onset detection,p new onset detection
243,obj-4_obj-9_root,obj-4,newobj,2,1,537.0,303.0,obj-9_root,standard,sah~,sah~
244,obj-82_obj-9_root,obj-82,newobj,2,1,394.0,173.0,obj-9_root,standard,count~ 0 4410 1,count~ 0 4410 1
245,obj-14_obj-9_root,obj-14,newobj,2,1,479.0,227.0,obj-9_root,standard,+~ 4410,+~ 4410
246,obj-13_obj-9_root,obj-13,newobj,3,0,452.0,256.0,obj-9_root,standard,poke~ input,poke~ input
247,obj-84_obj-9_root,obj-84,newobj,3,0,367.0,256.0,obj-9_root,standard,poke~ input,poke~ input
269,obj-36_obj-9_root,obj-36,button,1,1,1248.0,525.0,obj-9_root,standard,,button
270,obj-33_obj-9_root,obj-33,button,1,1,442.0,623.0,obj-9_root,standard,,button
271,obj-61_obj-9_root,obj-61,newobj,2,1,1178.0,607.0,obj-9_root,standard,- 1,- 1
272,obj-28_obj-9_root,obj-28,newobj,2,1,1246.0,649.0,obj-9_root,standard,int,int
273,obj-27_obj-9_root,obj-27,message,2,1,1246.0,683.0,obj-9_root,standard,deststartchan $1, bang
274,obj-29_obj-9_root,obj-29,umenu,1,3,1178.0,569.0,obj-9_root,standard,,umenu
275,obj-5_obj-9_root,obj-5,newobj,1,2,1029.5,742.0,obj-9_root,standard,buffer~ filter-temp4 1,buffer~ filter-temp4 1
276,obj-2_obj-9_root,obj-2,newobj,1,3,442.0,576.0,obj-9_root,standard,fluid.bufnmf~ @source input @components 1 @iterations 100 @fftsettings 128 64 -1 @bases filter-temp4 @numframes 128 @basesmode 1,fluid.bufnmf~ @source input @components 1 @iterations 100 @fftsettings 128 64 -1 @bases filter-temp4 @numframes 128 @basesmode 1
277,obj-40_obj-9_root,obj-40,newobj,2,1,501.5,392.0,obj-9_root,standard,delay~ 128 128,delay~ 128 128
278,obj-30_obj-9_root,obj-30,newobj,1,1,348.0,436.0,obj-9_root,standard,loadmess 0,loadmess 0
279,obj-20_obj-9_root,obj-20,newobj,2,1,394.0,508.0,obj-9_root,standard,+ 1,+ 1
280,obj-31_obj-9_root,obj-31,umenu,1,3,348.0,470.0,obj-9_root,standard,,umenu
281,obj-10_obj-9_root,obj-10,newobj,2,2,417.0,540.0,obj-9_root,standard,gate 2,gate 2
282,obj-66_obj-9_root,obj-66,newobj,1,3,143.0,786.0,obj-9_root,standard,fluid.bufnmf~ @source input @components 3 @iterations 100 @fftsettings 128 64 -1 @activations activations4 @bases filters4 @numframes 128 @basesmode 2,fluid.bufnmf~ @source input @components 3 @iterations 100 @fftsettings 128 64 -1 @activations activations4 @bases filters4 @numframes 128 @basesmode 2
283,obj-50_obj-9_root,obj-50,newobj,2,1,442.0,470.0,obj-9_root,standard,snapshot~,snapshot~
